official_id,match_status,nbra_name,name_source,jersey_num,years_experience,college,hometown,birth_date,bio_url,headshot_url,extra_fields
ray-acosta,auto,Ray Acosta,link-text,54,9th season,University of Central Florida '07,,"December 12, 1983 (Elizabeth, N.J.)",https://www.nbra.net/nba-officials/referee-biographies/ray-acosta/,https://www.nbra.net/wp-content/uploads/2018/01/Ray-Acosta-scaled.jpg,"{""resides"": ""Lake Worth, Fla."", ""hs"": ""Lake Worth (Lake Worth, Fla.)"", ""favorite tv show"": ""The Sopranos"", ""favorite movie"": ""Scarface"", ""favorite musician"": ""Michael Jackson"", ""favorite book"": ""Rich Dad Poor Dad"", ""favorite meal"": ""Anything Italian"", ""favorite app"": ""Netflix"", ""would most like to visit"": ""Maldives"", ""bucket list"": ""Be in shark tank surrounded by great white sharks in Australia"", ""hidden talent"": ""Dancing""}"
brandon-adair,auto,Brandon Adair,link-text,67,8th season,Virginia Wesleyan University,,"September 14, 1985 (Norfolk, Va.)",https://www.nbra.net/nba-officials/referee-biographies/brandon-adair/,https://www.nbra.net/wp-content/uploads/2018/10/Brandon-Adair-scaled.jpg,"{""resides"": ""Virginia Beach, Va."", ""high school"": ""Princess Anne (Virginia Beach, Va.)"", ""favorite tv show"": ""The Fresh Prince of Bel-Air"", ""favorite movie"": ""The Pursuit of Happiness"", ""favorite musician"": ""Charlie Wilson"", ""favorite book"": ""David Baldacci books"", ""favorite meal"": ""Surf and Turf"", ""favorite app"": ""TripCase"", ""would most like to visit"": ""Rome"", ""bucket list"": ""Sky Diving""}"
brent-barnaky,auto,Brent Barnaky,link-text,36,16th season,University of Central Florida '97; Shepard Broad College of Law '01,,"May 30, 1975 (Hamilton, Ohio)",https://www.nbra.net/nba-officials/referee-biographies/brent-barnaky/,https://www.nbra.net/wp-content/uploads/2016/05/Brent-Barnaky-scaled.jpg,"{""resides"": ""Clearwater, Fla."", ""hs"": ""Clearwater  (Clearwater, Fla.)"", ""favorite tv show"": ""Ozark"", ""favorite movie"": ""For Love of the Game"", ""favorite musician"": ""Chris Botti"", ""favorite book"": ""Ego Is the Enemy"", ""favorite meal"": ""Chicken Parmesan"", ""favorite app"": ""FaceTime"", ""would most like to visit"": ""Italy"", ""bucket list"": ""Great Barrier Reef Scuba Dive""}"
curtis-blair,auto,Curtis Blair,link-text,74,18th season,University of Richmond ‘92,,"September 24, 1970 (Roanoke, Va.)",https://www.nbra.net/nba-officials/referee-biographies/courtney-kirkland-2/,https://www.nbra.net/wp-content/uploads/2016/05/Curtis-Blair-scaled.jpg,"{""resides"": ""Richmond, Va."", ""high school"": ""Patrick Henry (Roanoke, Va.)"", ""favorite tv show"": ""Dexter"", ""favorite movie"": ""Grease"", ""favorite musician"": ""K-Ci & JoJo"", ""favorite meal"": ""Lamb Curry"", ""would most like to visit"": ""Brazil"", ""hidden talent"": ""Tennis""}"
tony-brothers,auto,Tony Brothers,link-text,25,32nd season,Old Dominion University ’86,,"September 14, 1964 (Norfolk, Va.)",https://www.nbra.net/nba-officials/referee-biographies/tony-brothers/,https://www.nbra.net/wp-content/uploads/2016/05/Tony-Brothers-scaled.jpg,"{""resides"": ""Smithfield, Va."", ""high school"": ""Booker T. Washington (Norfolk, Va.)"", ""favorite tv show"": ""24"", ""favorite movie"": ""Claudine"", ""favorite musician"": ""Earth, Wind & Fire"", ""favorite book"": ""The Bible"", ""favorite meal"": ""Fried Croakers"", ""favorite app"": ""Spotify"", ""would most like to visit"": ""Israel"", ""hidden talent"": ""Cooking""}"
nick-buchert,auto,Nick Buchert,link-text,3,16th season,University of Phoenix,,"April 17, 1983 (Orlando, Fla.)",https://www.nbra.net/nba-officials/referee-biographies/nick-buchert/,https://www.nbra.net/wp-content/uploads/2016/05/Nick-Buchert-scaled-e1704057641423.jpg,"{""resides"": ""Highland Park, Ill."", ""hs"": ""University (Orlando, Fla.)"", ""favorite tv show"": ""Game of Thrones and Walking Dead"", ""favorite movie"": ""Gladiator"", ""favorite musician"": ""David Gray"", ""favorite book"": ""October Sky"", ""favorite meal"": ""Steak"", ""favorite app"": ""Bandsintown"", ""would most like to visit"": ""Rome"", ""bucket list"": ""Attend Super Bowl""}"
john-butler,auto,John Butler,link-text,30,7th Season,Vanguard University,,"August 20, 1986 (Biloxi, Miss.)",https://www.nbra.net/nba-officials/referee-biographies/john-butler/,https://www.nbra.net/wp-content/uploads/2019/10/John-Butler-scaled.jpg,"{""resides"": ""La Mesa, Calif."", ""high school"": ""San Diego (San Diego, Calif)"", ""favorite tv show"": ""Suits"", ""favorite movie"": ""Do the Right Thing"", ""favorite musician"": ""Jay-Z"", ""favorite book"": ""The Four Agreements"", ""favorite meal"": ""Red Beans and Rice"", ""favorite app"": ""The Bible"", ""would most like to visit"": ""Italy and Greece""}"
james-capers,auto,James Capers,link-text,19,31st season,Northern Illinois University ’84,,"November 8, 1961 (Chicago, Ill.)",https://www.nbra.net/nba-officials/referee-biographies/james-capers/,https://www.nbra.net/wp-content/uploads/2016/05/20220919_RPSM_SFR_0298-e1667320970792.jpg,"{""resides"": ""Chicago, Ill."", ""high school"": ""Hales Franciscan (Chicago, Ill.)"", ""favorite tv show"": ""Black-ish"", ""favorite movie"": ""Malcom X"", ""favorite musician"": ""Jill Scott"", ""favorite book"": ""The Shack"", ""favorite meal"": ""Lobster roll on Martha's Vineyard"", ""favorite app"": ""Pandora"", ""bucket list"": ""Attend English Premier League soccer match"", ""hidden talent"": ""Bid Whist""}"
derrick-collins,auto,Derrick Collins,link-text,11,25th season,Xavier University of Louisiana ’88,,"July 15, 1965 (New Orleans, La.)",https://www.nbra.net/nba-officials/referee-biographies/derrick-collins/,https://www.nbra.net/wp-content/uploads/2016/05/20220919_RPSM_SFR_0220-e1667319977721.jpg,"{""resides"": ""Sugar Land, Texas"", ""high school"": ""Brother Martin (New Orleans, La.)"", ""favorite tv show"": ""Martin"", ""favorite movie"": ""Glory"", ""favorite musician"": ""Bob Marley"", ""favorite book"": ""The Bible"", ""favorite meal"": ""Gumbo"", ""would most like to visit"": ""Africa"", ""bucket list"": ""Fly an Airplane""}"
john-conley,auto,John Conley,link-text,79,3rd Season,Central Florida '15,,"October 1,1989 (Orlando, Fla.)",https://www.nbra.net/nba-officials/referee-biographies/john-conley/,https://www.nbra.net/wp-content/uploads/2022/03/20220919_RPSM_SFR_0202-e1667319912230.jpg,"{""resides"": ""Orlando, Fla."", ""high school"": ""Lake Highland Prep (Orlando, Fla.)"", ""favorite tv show"": ""Even Stevens"", ""favorite musician"": ""Michael Jackson"", ""favorite book"": ""Be the Pack Leader"", ""favorite meal"": ""Potatoes and Pasta"", ""favorite movie"": ""Dumb and Dumber"", ""would most like to visit"": ""Australia"", ""bucket list"": ""Skydive in Dubai"", ""hidden talent"": ""Dog training""}"
